w1	w2	grid#	st/gl#	heur	m_f(B)	exp	time(s)	dist
1	2	4	0	4	96768	279424	0.056	136.382
1	2	4	1	4	77568	194944	0.035	118.857
1	2	4	2	4	131328	395648	0.073	171.399
1	2	4	3	4	132352	401280	0.080	157.301
1	2	4	4	4	102656	236416	0.044	168.216
1	2	4	5	4	135040	339328	0.066	148.023
1	2	4	6	4	99840	212864	0.038	136.848
1	2	4	7	4	90368	258432	0.045	173.366
1	2	4	8	4	44544	51072	0.010	94.782
1	2	4	9	4	109184	404352	0.083	118.971
2	0	0	0	4	127744	1156096	0.226	128.767
2	0	0	1	4	111744	735232	0.129	122.493
2	0	0	2	4	123008	238080	0.046	71.586
2	0	0	3	4	138112	1050624	0.193	136.829
2	0	0	4	4	113152	824832	0.165	124.062
2	0	0	5	4	105088	355328	0.066	94.571
2	0	0	6	4	116864	948736	0.171	125.730
2	0	0	7	4	132864	646144	0.121	128.892
2	0	0	8	4	77952	323072	0.057	95.079
2	0	0	9	4	109824	733696	0.151	129.631
2	0	1	0	4	80640	217600	0.038	79.914
2	0	1	1	4	78336	365568	0.088	86.801
2	0	1	2	4	108032	1233920	0.220	136.203
2	0	1	3	4	189696	2078208	0.385	130.954
2	0	1	4	4	72576	1218048	0.238	149.739
2	0	1	5	4	83200	496640	0.084	90.020
2	0	1	6	4	202752	2399744	0.450	148.722
2	0	1	7	4	157184	1010688	0.179	112.737
2	0	1	8	4	94592	634368	0.107	93.898
2	0	1	9	4	103552	482304	0.085	87.350
2	0	2	0	4	83072	568320	0.112	115.335
2	0	2	1	4	83712	857600	0.147	124.823
2	0	2	2	4	82944	883712	0.156	135.345
2	0	2	3	4	119168	1629696	0.285	155.098
2	0	2	4	4	72320	187904	0.040	76.539
2	0	2	5	4	125824	1226240	0.224	117.275
2	0	2	6	4	101248	835072	0.151	140.552
2	0	2	7	4	139264	1366528	0.240	136.585
2	0	2	8	4	121216	629760	0.112	107.108
2	0	2	9	4	74112	337408	0.062	92.232
2	0	3	0	4	115328	701952	0.137	105.543
2	0	3	1	4	86912	599040	0.113	90.176
2	0	3	2	4	132096	659968	0.125	94.047
2	0	3	3	4	74496	506880	0.094	78.497
2	0	3	4	4	122240	547328	0.095	107.108
2	0	3	5	4	120576	342528	0.063	95.086
2	0	3	6	4	92416	695296	0.193	104.952
2	0	3	7	4	102400	1026048	0.196	127.406
2	0	3	8	4	77952	544768	0.095	82.942
2	0	3	9	4	80000	492544	0.088	86.555
2	0	4	0	4	88960	662528	0.125	92.518
2	0	4	1	4	68608	756736	0.132	110.712
2	0	4	2	4	109568	363008	0.071	92.500
2	0	4	3	4	123392	1332736	0.239	124.514
2	0	4	4	4	95616	671232	0.119	122.205
2	0	4	5	4	64000	909824	0.163	132.518
2	0	4	6	4	86016	1157120	0.248	129.259
2	0	4	7	4	103296	1114112	0.206	126.625
2	0	4	8	4	107392	472064	0.089	71.188
2	0	4	9	4	98432	260608	0.066	66.234
2	1	0	0	4	127744	1156096	0.226	128.767
2	1	0	1	4	111744	735232	0.132	122.493
2	1	0	2	4	123008	238080	0.045	71.586
2	1	0	3	4	138112	1050624	0.190	136.829
2	1	0	4	4	113152	824832	0.154	124.062
2	1	0	5	4	105088	355328	0.061	94.571
2	1	0	6	4	116864	948736	0.176	125.730
2	1	0	7	4	132864	646144	0.155	128.892
2	1	0	8	4	77952	323072	0.055	95.079
2	1	0	9	4	109824	733696	0.139	129.631
2	1	1	0	4	80640	217600	0.038	79.914
2	1	1	1	4	78336	365568	0.061	86.801
2	1	1	2	4	108032	1233920	0.227	136.203
2	1	1	3	4	189696	2078208	0.397	130.954
2	1	1	4	4	72576	1218048	0.213	149.739
2	1	1	5	4	83200	496640	0.086	90.020
2	1	1	6	4	202752	2399744	0.462	148.722
2	1	1	7	4	157184	1010688	0.200	112.737
2	1	1	8	4	94592	634368	0.119	93.898
2	1	1	9	4	103552	482304	0.096	87.350
2	1	2	0	4	83072	568320	0.105	115.335
2	1	2	1	4	83712	857600	0.145	124.823
2	1	2	2	4	82944	883712	0.158	135.345
2	1	2	3	4	119168	1629696	0.307	155.098
2	1	2	4	4	72320	187904	0.035	76.539
2	1	2	5	4	125824	1226240	0.231	117.275
2	1	2	6	4	101248	835072	0.202	140.552
2	1	2	7	4	139264	1366528	0.262	136.585
2	1	2	8	4	121216	629760	0.113	107.108
2	1	2	9	4	74112	337408	0.065	92.232
2	1	3	0	4	115328	701952	0.126	105.543
2	1	3	1	4	86912	599040	0.108	90.176
2	1	3	2	4	132096	659968	0.135	94.047
2	1	3	3	4	74496	506880	0.093	78.497
2	1	3	4	4	122240	547328	0.097	107.108
2	1	3	5	4	120576	342528	0.063	95.086
2	1	3	6	4	92416	695296	0.141	104.952
2	1	3	7	4	102400	1026048	0.191	127.406
2	1	3	8	4	77952	544768	0.119	82.942
2	1	3	9	4	80000	492544	0.092	86.555
2	1	4	0	4	88960	662528	0.122	92.518
2	1	4	1	4	68608	756736	0.148	110.712
2	1	4	2	4	109568	363008	0.066	92.500
2	1	4	3	4	123392	1332736	0.260	124.514
2	1	4	4	4	95616	671232	0.119	122.205
2	1	4	5	4	64000	909824	0.162	132.518
2	1	4	6	4	86016	1157120	0.210	129.259
2	1	4	7	4	103296	1114112	0.210	126.625
2	1	4	8	4	107392	472064	0.085	71.188
2	1	4	9	4	98432	260608	0.059	66.234
2	2	0	0	4	136448	713088	0.131	171.838
2	2	0	1	4	111744	735232	0.132	122.493
2	2	0	2	4	123008	238080	0.044	71.586
2	2	0	3	4	81792	68992	0.014	205.862
2	2	0	4	4	113152	824832	0.144	124.062
2	2	0	5	4	93056	192896	0.036	153.738
2	2	0	6	4	116864	948736	0.171	125.730
2	2	0	7	4	132864	646144	0.140	128.892
2	2	0	8	4	77952	323072	0.056	95.079
2	2	0	9	4	109824	733696	0.164	129.631
2	2	1	0	4	80640	217600	0.039	79.914
2	2	1	1	4	86272	302464	0.062	123.804
2	2	1	2	4	146560	1114496	0.239	173.785
2	2	1	3	4	248320	1988480	0.372	175.100
2	2	1	4	4	130816	1239936	0.226	184.030
2	2	1	5	4	104320	496512	0.101	124.045
2	2	1	6	4	257664	1876864	0.342	208.661
2	2	1	7	4	157184	1010688	0.190	112.737
2	2	1	8	4	112256	599936	0.108	114.521
2	2	1	9	4	103552	482304	0.091	87.350
2	2	2	0	4	99200	398720	0.067	184.156
2	2	2	1	4	114560	691072	0.134	209.048
2	2	2	2	4	82944	883712	0.151	135.345
2	2	2	3	4	122880	889728	0.155	191.746
2	2	2	4	4	72320	187904	0.040	76.539
2	2	2	5	4	89216	59264	0.019	154.287
2	2	2	6	4	101248	835072	0.143	140.552
2	2	2	7	4	139264	1366528	0.258	136.585
2	2	2	8	4	121216	629760	0.112	107.108
2	2	2	9	4	74112	337408	0.057	92.232
2	2	3	0	4	115328	701952	0.125	105.543
2	2	3	1	4	86912	599040	0.104	90.176
2	2	3	2	4	132096	659968	0.129	94.047
2	2	3	3	4	74496	506880	0.093	78.497
2	2	3	4	4	122240	547328	0.151	107.108
2	2	3	5	4	120576	342528	0.067	95.086
2	2	3	6	4	135680	489856	0.091	142.391
2	2	3	7	4	88960	153472	0.028	147.995
2	2	3	8	4	77952	544768	0.100	82.942
2	2	3	9	4	80000	492544	0.092	86.555
2	2	4	0	4	88960	662528	0.134	92.518
2	2	4	1	4	107648	670080	0.113	130.015
2	2	4	2	4	109568	363008	0.073	92.500
2	2	4	3	4	123392	1332736	0.245	124.514
2	2	4	4	4	138624	147840	0.029	173.244
2	2	4	5	4	64000	909824	0.157	132.518
2	2	4	6	4	122496	832896	0.163	141.676
2	2	4	7	4	103296	1114112	0.200	126.625
2	2	4	8	4	50816	41856	0.009	97.125
2	2	4	9	4	98432	260608	0.048	66.234
