grid#	st#	step	ml_c	gt_c	dist	p(gt)
0	1	97	(76, 51)	(76, 51)	0.000	0.724
0	1	98	(75, 51)	(75, 51)	0.000	0.653
0	1	99	(75, 52)	(75, 51)	1.000	0.072
0	1	100	(76, 52)	(76, 51)	1.000	0.068
Already at last step
0	2	1	(0, 8)	(63, 7)	63.008	0.000
0	2	2	(0, 66)	(63, 6)	87.000	0.002
0	2	3	(71, 36)	(63, 5)	32.016	0.003
0	2	4	(41, 26)	(63, 4)	31.113	0.011
0	2	5	(64, 73)	(64, 4)	69.000	0.018
0	2	6	(42, 88)	(64, 3)	87.801	0.024
0	2	7	(49, 44)	(64, 2)	44.598	0.031
0	2	8	(63, 2)	(63, 2)	0.000	0.164
0	2	9	(63, 1)	(63, 1)	0.000	0.378
0	2	10	(63, 1)	(63, 1)	0.000	0.673
0	2	11	(63, 1)	(63, 1)	0.000	0.789
0	2	12	(63, 2)	(63, 2)	0.000	0.859
0	2	13	(63, 3)	(63, 3)	0.000	0.864
0	2	14	(64, 3)	(64, 3)	0.000	0.870
0	2	15	(64, 4)	(64, 4)	0.000	0.796
0	2	16	(64, 5)	(64, 5)	0.000	0.718
0	2	17	(63, 5)	(63, 5)	0.000	0.845
0	2	18	(63, 6)	(63, 6)	0.000	0.975
0	2	19	(63, 7)	(63, 6)	1.000	0.007
0	2	20	(63, 7)	(63, 6)	1.000	0.002
0	2	21	(63, 7)	(63, 7)	0.000	0.569
0	2	22	(63, 7)	(64, 7)	1.000	0.259
0	2	23	(63, 8)	(64, 7)	1.414	0.028
0	2	24	(64, 8)	(64, 7)	1.000	0.007
0	2	25	(64, 8)	(65, 7)	1.414	0.099
0	2	26	(66, 7)	(66, 7)	0.000	0.554
0	2	27	(66, 7)	(66, 7)	0.000	0.376
0	2	28	(66, 6)	(66, 6)	0.000	0.467
0	2	29	(65, 6)	(65, 6)	0.000	0.396
0	2	30	(65, 4)	(65, 5)	1.000	0.084
0	2	31	(66, 4)	(66, 5)	1.000	0.088
0	2	32	(66, 3)	(66, 4)	1.000	0.158
0	2	33	(65, 4)	(65, 4)	0.000	0.573
0	2	34	(65, 4)	(64, 4)	1.000	0.206
0	2	35	(64, 3)	(64, 3)	0.000	0.545
0	2	36	(63, 3)	(63, 3)	0.000	0.735
0	2	37	(63, 3)	(63, 3)	0.000	0.946
0	2	38	(63, 2)	(63, 2)	0.000	0.891
0	2	39	(62, 2)	(62, 2)	0.000	0.980
0	2	40	(61, 2)	(61, 2)	0.000	0.888
0	2	41	(61, 1)	(61, 1)	0.000	0.883
0	2	42	(60, 1)	(60, 1)	0.000	0.868
0	2	43	(60, 0)	(60, 0)	0.000	0.982
0	2	44	(60, 0)	(60, 0)	0.000	0.998
0	2	45	(60, 0)	(60, 0)	0.000	0.999
0	2	46	(60, 0)	(60, 0)	0.000	0.999
0	2	47	(60, 0)	(60, 0)	0.000	0.999
0	2	48	(60, 1)	(60, 1)	0.000	0.994
0	2	49	(60, 2)	(60, 2)	0.000	0.993
0	2	50	(60, 2)	(60, 2)	0.000	0.665
0	2	51	(60, 2)	(60, 2)	0.000	0.562
0	2	52	(61, 2)	(61, 2)	0.000	0.924
0	2	53	(62, 2)	(62, 2)	0.000	0.891
0	2	54	(62, 1)	(62, 1)	0.000	0.985
0	2	55	(63, 1)	(63, 1)	0.000	0.895
0	2	56	(63, 1)	(63, 1)	0.000	0.989
0	2	57	(63, 1)	(63, 1)	0.000	0.999
0	2	58	(63, 0)	(63, 0)	0.000	0.994
0	2	59	(63, 0)	(63, 0)	0.000	0.665
0	2	60	(63, 0)	(63, 0)	0.000	0.973
0	2	61	(63, 0)	(63, 0)	0.000	0.714
0	2	62	(63, 1)	(63, 1)	0.000	0.969
0	2	63	(63, 2)	(63, 2)	0.000	0.991
