grid#	st/gl#	heur	m_f(B)	exp	time(s)	dist
3	1	5	55552	138496	0.021	90.176
3	2	1	55552	1072000	0.154	86.314
3	2	2	39936	33024	0.006	114.450
3	2	3	49920	1267584	0.180	86.314
3	2	4	28032	12672	0.003	147.431
3	2	5	58368	188800	0.028	94.039
3	3	1	40704	977792	0.147	78.479
3	3	2	36736	59904	0.010	106.423
3	3	3	43008	1093120	0.156	78.479
3	3	4	24704	12544	0.003	107.015
3	3	5	52736	214784	0.032	78.497
3	4	1	60544	1365632	0.194	94.767
3	4	2	48640	60800	0.010	134.351
3	4	3	45696	1509760	0.213	94.767
3	4	4	35968	16512	0.004	150.964
3	4	5	67328	284160	0.042	128.768
3	5	1	61696	1504000	0.222	93.163
3	5	2	49920	50688	0.009	165.887
3	5	3	53504	1668736	0.240	93.163
3	5	4	43264	18176	0.004	188.255
3	5	5	84224	406656	0.062	142.842
3	6	1	50688	1209856	0.171	101.237
3	6	2	42240	35840	0.006	136.208
3	6	3	41856	1331712	0.187	101.237
3	6	4	34048	12800	0.003	149.147
3	6	5	61824	371584	0.058	107.157
3	7	1	63360	1893248	0.265	126.844
3	7	2	40704	26752	0.005	153.459
3	7	3	51456	1949056	0.270	126.844
3	7	4	37248	14592	0.003	158.201
3	7	5	75520	654848	0.097	136.632
3	8	1	42880	993664	0.141	81.916
3	8	2	38016	40704	0.007	105.957
3	8	3	48896	1127552	0.166	81.916
3	8	4	27264	12800	0.003	111.999
3	8	5	52864	226048	0.035	82.934
3	9	1	45824	1051904	0.151	86.546
3	9	2	29056	27392	0.005	86.710
3	9	3	42496	1160704	0.164	86.546
3	9	4	26368	12160	0.003	93.716
3	9	5	57088	137600	0.021	86.555
4	0	1	56576	1285504	0.183	89.011
4	0	2	71680	126848	0.019	94.975
4	0	3	56960	1438208	0.210	89.011
4	0	4	28800	13696	0.003	138.450
4	0	5	68736	318464	0.049	92.811
4	1	1	34816	1077504	0.150	110.372
4	1	2	36736	165632	0.025	120.821
4	1	3	46720	1339776	0.192	110.372
4	1	4	25728	13696	0.003	137.092
4	1	5	67712	496896	0.073	115.969
4	2	1	54144	1113600	0.161	88.919
4	2	2	44672	38784	0.007	126.688
4	2	3	49792	1314176	0.192	88.919
4	2	4	40832	17664	0.004	138.480
4	2	5	98816	387584	0.058	94.173
4	3	1	53120	1855232	0.261	122.605
4	3	2	53504	115712	0.018	139.462
4	3	3	48512	1951104	0.261	122.605
4	3	4	33536	17408	0.003	174.196
4	3	5	91392	489472	0.069	136.789
4	4	1	57344	1824640	0.255	120.638
4	4	2	47104	27520	0.005	166.501
4	4	3	57088	1927552	0.270	120.638
4	4	4	41728	16256	0.003	163.463
4	4	5	85504	488320	0.074	129.447
4	5	1	53504	1528960	0.222	132.172
4	5	2	60672	123008	0.020	135.804
4	5	3	51584	1857920	0.263	132.172
4	5	4	34176	18432	0.004	175.122
4	5	5	78080	387200	0.055	132.518
4	6	1	55296	1823104	0.256	129.250
4	6	2	75392	184704	0.028	130.459
4	6	3	51456	1987840	0.287	129.250
4	6	4	30720	15744	0.003	156.473
4	6	5	60672	506496	0.074	129.345
4	7	1	54144	1581696	0.222	126.416
4	7	2	60160	64640	0.010	156.752
4	7	3	50816	1789312	0.248	126.416
4	7	4	40448	17536	0.004	178.896
4	7	5	62080	524288	0.075	135.277
4	8	1	75520	948736	0.140	70.340
4	8	2	23808	9728	0.002	94.782
4	8	3	78208	1357056	0.193	70.340
4	8	4	24832	9600	0.002	96.782
4	8	5	53504	299008	0.046	93.024
4	9	1	68352	919552	0.138	63.158
4	9	2	52992	72064	0.011	72.309
4	9	3	75648	1252992	0.180	63.158
4	9	4	26624	13440	0.003	120.579
4	9	5	53888	97280	0.015	70.145
